time,BTC_open,BTC_high,BTC_low,BTC_close,BTC_volume,BTC_turnover,XRP_open,XRP_high,XRP_low,XRP_close,XRP_volume,XRP_turnover,EOS_open,EOS_high,EOS_low,EOS_close,EOS_volume,EOS_turnover,ETH_open,ETH_high,ETH_low,ETH_close,ETH_volume,ETH_turnover
1649771580,40429.0,40465.0,40424.0,40460.0,333870.0,8.25468702,0.7167,0.7171,0.7166,0.7166,109718.0,153075.85307719,2.24,2.241,2.24,2.241,1744.0,778.44632495,3056.05,3060.0,3056.05,3059.95,480539.0,157.14744209
1649771640,40460.0,40466.0,40421.5,40438.0,213427.0,5.27684516,0.7166,0.7168,0.7161,0.7163,118454.0,165371.40070722,2.241,2.241,2.239,2.239,339.0,151.34327345,3059.95,3060.05,3057.1,3058.4,98842.0,32.31100636
1649771700,40438.0,40445.5,40389.0,40445.0,764382.0,18.90666761,0.7163,0.7163,0.7157,0.7161,26094.0,36442.9446795,2.239,2.24,2.237,2.24,3532.0,1576.84737847,3058.4,3060.05,3054.3,3060.05,266952.0,87.30395634
1649771760,40445.0,40445.5,40416.5,40434.5,962711.0,23.81221469,0.7161,0.7161,0.7159,0.7159,34387.0,48028.23442398,2.24,2.241,2.239,2.239,10999.0,4911.52286888,3060.05,3060.05,3056.05,3057.4,573836.0,187.66058459
1649771820,40434.5,40445.5,40409.0,40414.5,1480194.0,36.61922233,0.7159,0.7159,0.7148,0.7148,79863.0,111655.02856497,2.239,2.241,2.238,2.238,735.0,328.36377547,3057.4,3058.25,3054.45,3054.5,158736.0,51.93704771
1649771880,40414.5,40434.5,40359.0,40392.0,14339763.0,354.98934633,0.7148,0.7165,0.7142,0.7159,735295.0,1028161.13135903,2.238,2.238,2.235,2.235,40102.0,17930.77534872,3054.5,3054.85,3050.65,3052.6,527737.0,172.86214252
1649771940,40392.0,40392.5,40369.0,40373.0,700237.0,17.34120082,0.7159,0.7159,0.7152,0.7153,116254.0,162439.11236171,2.235,2.238,2.235,2.236,2719.0,1215.0840352,3052.6,3053.0,3049.05,3049.55,601576.0,197.19038574
1649772000,40373.0,40433.0,40340.0,40349.5,2476991.0,61.30597487,0.7153,0.7154,0.7143,0.7144,233654.0,326951.95879033,2.236,2.237,2.233,2.234,1829.0,817.92000642,3049.55,3054.0,3042.05,3045.4,6041860.0,1982.20279661
1649772060,40349.5,40371.0,40319.5,40325.5,3763335.0,93.28214478,0.7144,0.7144,0.714,0.714,24912.0,34880.13095113,2.234,2.234,2.232,2.233,3759.0,1683.40967067,3045.4,3047.8,3041.2,3043.65,2208245.0,724.9933537
1649772120,40325.5,40356.5,40272.5,40289.0,1593575.0,39.53754517,0.714,0.7145,0.7133,0.7133,131981.0,184834.46098598,2.233,2.234,2.226,2.226,10031.0,4497.88464375,3043.65,3047.55,3037.45,3038.4,875658.0,287.89624212
1649772180,40289.0,40314.5,40285.0,40287.0,459744.0,11.40661064,0.7133,0.7134,0.7128,0.7128,137682.0,193111.96295998,2.226,2.229,2.226,2.227,8531.0,3830.91488899,3038.4,3039.55,3036.5,3036.5,828200.0,272.56942523
